axis,recall,precision
acylglycerol,1.0,0.06133333333333333
acylglycerol,1.0,0.06149732620320856
acylglycerol,1.0,0.06166219839142091
acylglycerol,1.0,0.06182795698924731
acylglycerol,1.0,0.06199460916442048
acylglycerol,1.0,0.062162162162162166
acylglycerol,1.0,0.06233062330623306
acylglycerol,1.0,0.0625
acylglycerol,1.0,0.06267029972752043
acylglycerol,1.0,0.06284153005464481
acylglycerol,1.0,0.06301369863013699
acylglycerol,1.0,0.06318681318681318
acylglycerol,1.0,0.06336088154269973
acylglycerol,1.0,0.06353591160220995
acylglycerol,1.0,0.06371191135734072
acylglycerol,1.0,0.06388888888888888
acylglycerol,1.0,0.06406685236768803
acylglycerol,1.0,0.06424581005586592
acylglycerol,1.0,0.06442577030812324
acylglycerol,1.0,0.06460674157303371
acylglycerol,1.0,0.0647887323943662
acylglycerol,1.0,0.06497175141242938
acylglycerol,1.0,0.06515580736543909
acylglycerol,1.0,0.06534090909090909
acylglycerol,1.0,0.06552706552706553
acylglycerol,1.0,0.06571428571428571
acylglycerol,1.0,0.0659025787965616
acylglycerol,1.0,0.06609195402298851
acylglycerol,1.0,0.06628242074927954
acylglycerol,1.0,0.06647398843930635
acylglycerol,1.0,0.06666666666666667
acylglycerol,1.0,0.06686046511627906
acylglycerol,1.0,0.06705539358600583
acylglycerol,1.0,0.06725146198830409
acylglycerol,1.0,0.06744868035190615
acylglycerol,1.0,0.06764705882352941
acylglycerol,1.0,0.06784660766961652
acylglycerol,1.0,0.06804733727810651
acylglycerol,1.0,0.06824925816023739
acylglycerol,1.0,0.06845238095238096
acylglycerol,1.0,0.06865671641791045
acylglycerol,1.0,0.0688622754491018
acylglycerol,1.0,0.06906906906906907
acylglycerol,1.0,0.06927710843373494
acylglycerol,1.0,0.06948640483383686
acylglycerol,1.0,0.0696969696969697
acylglycerol,1.0,0.06990881458966565
acylglycerol,1.0,0.0701219512195122
acylglycerol,1.0,0.07033639143730887
acylglycerol,1.0,0.0705521472392638
acylglycerol,1.0,0.07076923076923076
acylglycerol,1.0,0.07098765432098765
acylglycerol,1.0,0.07120743034055728
acylglycerol,1.0,0.07142857142857142
acylglycerol,1.0,0.07165109034267912
acylglycerol,1.0,0.071875
acylglycerol,1.0,0.07210031347962383
acylglycerol,1.0,0.07232704402515723
acylglycerol,1.0,0.07255520504731862
acylglycerol,1.0,0.07278481012658228
acylglycerol,1.0,0.07301587301587302
acylglycerol,1.0,0.0732484076433121
acylglycerol,1.0,0.07348242811501597
acylglycerol,1.0,0.07371794871794872
acylglycerol,1.0,0.07395498392282958
acylglycerol,1.0,0.07419354838709677
acylglycerol,1.0,0.0744336569579288
acylglycerol,1.0,0.07467532467532467
acylglycerol,1.0,0.0749185667752443
acylglycerol,1.0,0.07516339869281045
acylglycerol,1.0,0.07540983606557378
acylglycerol,1.0,0.0756578947368421
acylglycerol,1.0,0.07590759075907591
acylglycerol,1.0,0.076158940397351
acylglycerol,1.0,0.07641196013289037
acylglycerol,1.0,0.07666666666666666
acylglycerol,1.0,0.07692307692307693
acylglycerol,1.0,0.07718120805369127
acylglycerol,1.0,0.07744107744107744
acylglycerol,1.0,0.0777027027027027
acylglycerol,1.0,0.07796610169491526
acylglycerol,1.0,0.0782312925170068
acylglycerol,1.0,0.07849829351535836
acylglycerol,1.0,0.07876712328767123
acylglycerol,1.0,0.07903780068728522
acylglycerol,1.0,0.07931034482758621
acylglycerol,1.0,0.07958477508650519
acylglycerol,1.0,0.0798611111111111
acylglycerol,1.0,0.08013937282229965
acylglycerol,1.0,0.08041958041958042
acylglycerol,1.0,0.08070175438596491
acylglycerol,1.0,0.08098591549295775
acylglycerol,1.0,0.0812720848056537
acylglycerol,1.0,0.08156028368794327
acylglycerol,1.0,0.08185053380782918
acylglycerol,1.0,0.08214285714285714
acylglycerol,1.0,0.08243727598566308
acylglycerol,1.0,0.08273381294964029
acylglycerol,1.0,0.08303249097472924
acylglycerol,1.0,0.08333333333333333
acylglycerol,1.0,0.08363636363636363
acylglycerol,1.0,0.08394160583941605
acylglycerol,1.0,0.08424908424908426
acylglycerol,1.0,0.08455882352941177
acylglycerol,1.0,0.08487084870848709
acylglycerol,1.0,0.08518518518518518
acylglycerol,1.0,0.08550185873605948
acylglycerol,1.0,0.08582089552238806
acylglycerol,1.0,0.08614232209737828
acylglycerol,1.0,0.08646616541353383
acylglycerol,1.0,0.08679245283018867
acylglycerol,1.0,0.08712121212121213
acylglycerol,1.0,0.08745247148288973
acylglycerol,1.0,0.08778625954198473
acylglycerol,1.0,0.08812260536398467
acylglycerol,1.0,0.08846153846153847
acylglycerol,1.0,0.0888030888030888
acylglycerol,1.0,0.08914728682170543
acylglycerol,1.0,0.08949416342412451
acylglycerol,1.0,0.08984375
acylglycerol,1.0,0.09019607843137255
acylglycerol,1.0,0.09055118110236221
acylglycerol,1.0,0.09090909090909091
acylglycerol,1.0,0.09126984126984126
acylglycerol,1.0,0.09163346613545817
acylglycerol,1.0,0.092
acylglycerol,1.0,0.09236947791164658
acylglycerol,1.0,0.09274193548387097
acylglycerol,1.0,0.0931174089068826
acylglycerol,1.0,0.09349593495934959
acylglycerol,1.0,0.09387755102040816
acylglycerol,1.0,0.0942622950819672
acylglycerol,1.0,0.09465020576131687
acylglycerol,1.0,0.09504132231404959
acylglycerol,1.0,0.0954356846473029
acylglycerol,1.0,0.09583333333333334
acylglycerol,1.0,0.09623430962343096
acylglycerol,1.0,0.09663865546218488
acylglycerol,1.0,0.0970464135021097
acylglycerol,1.0,0.09745762711864407
acylglycerol,1.0,0.09787234042553192
acylglycerol,1.0,0.09829059829059829
acylglycerol,1.0,0.09871244635193133
acylglycerol,1.0,0.09913793103448276
acylglycerol,1.0,0.09956709956709957
acylglycerol,1.0,0.1
acylglycerol,1.0,0.10043668122270742
acylglycerol,1.0,0.10087719298245613
acylglycerol,1.0,0.1013215859030837
acylglycerol,1.0,0.10176991150442478
acylglycerol,1.0,0.10222222222222223
acylglycerol,1.0,0.10267857142857142
acylglycerol,1.0,0.1031390134529148
acylglycerol,1.0,0.1036036036036036
acylglycerol,1.0,0.10407239819004525
acylglycerol,1.0,0.10454545454545454
acylglycerol,1.0,0.1050228310502283
acylglycerol,1.0,0.10550458715596331
acylglycerol,1.0,0.10599078341013825
acylglycerol,1.0,0.10648148148148148
acylglycerol,1.0,0.10697674418604651
acylglycerol,1.0,0.10747663551401869
acylglycerol,1.0,0.107981220657277
acylglycerol,1.0,0.10849056603773585
acylglycerol,1.0,0.10900473933649289
acylglycerol,1.0,0.10952380952380952
acylglycerol,1.0,0.11004784688995216
acylglycerol,1.0,0.11057692307692307
acylglycerol,1.0,0.1111111111111111
acylglycerol,1.0,0.11165048543689321
acylglycerol,1.0,0.11219512195121951
acylglycerol,1.0,0.11274509803921569
acylglycerol,1.0,0.11330049261083744
acylglycerol,1.0,0.11386138613861387
acylglycerol,1.0,0.11442786069651742
acylglycerol,1.0,0.115
acylglycerol,1.0,0.11557788944723618
acylglycerol,1.0,0.11616161616161616
acylglycerol,1.0,0.116751269035533
acylglycerol,1.0,0.11734693877551021
acylglycerol,1.0,0.11794871794871795
acylglycerol,1.0,0.11855670103092783
acylglycerol,1.0,0.11917098445595854
acylglycerol,1.0,0.11979166666666667
acylglycerol,1.0,0.12041884816753927
acylglycerol,1.0,0.12105263157894737
acylglycerol,1.0,0.12169312169312169
acylglycerol,1.0,0.12234042553191489
acylglycerol,1.0,0.12299465240641712
acylglycerol,1.0,0.12365591397849462
acylglycerol,1.0,0.12432432432432433
acylglycerol,1.0,0.125
acylglycerol,1.0,0.12568306010928962
acylglycerol,1.0,0.12637362637362637
acylglycerol,1.0,0.1270718232044199
acylglycerol,1.0,0.12777777777777777
acylglycerol,1.0,0.12849162011173185
acylglycerol,1.0,0.12921348314606743
acylglycerol,1.0,0.12994350282485875
acylglycerol,1.0,0.13068181818181818
acylglycerol,1.0,0.13142857142857142
acylglycerol,1.0,0.13218390804597702
acylglycerol,1.0,0.1329479768786127
acylglycerol,1.0,0.13372093023255813
acylglycerol,1.0,0.13450292397660818
acylglycerol,1.0,0.13529411764705881
acylglycerol,1.0,0.13609467455621302
acylglycerol,1.0,0.13690476190476192
acylglycerol,1.0,0.1377245508982036
acylglycerol,1.0,0.13855421686746988
acylglycerol,1.0,0.1393939393939394
acylglycerol,1.0,0.1402439024390244
acylglycerol,1.0,0.1411042944785276
acylglycerol,1.0,0.1419753086419753
acylglycerol,1.0,0.14285714285714285
acylglycerol,1.0,0.14375
acylglycerol,1.0,0.14465408805031446
acylglycerol,1.0,0.14556962025316456
acylglycerol,1.0,0.1464968152866242
acylglycerol,1.0,0.14743589743589744
acylglycerol,1.0,0.14838709677419354
acylglycerol,1.0,0.14935064935064934
acylglycerol,1.0,0.1503267973856209
acylglycerol,1.0,0.1513157894736842
acylglycerol,1.0,0.152317880794702
acylglycerol,1.0,0.15333333333333332
acylglycerol,1.0,0.15436241610738255
acylglycerol,1.0,0.1554054054054054
acylglycerol,1.0,0.1564625850340136
acylglycerol,1.0,0.15753424657534246
acylglycerol,1.0,0.15862068965517243
acylglycerol,1.0,0.1597222222222222
acylglycerol,1.0,0.16083916083916083
acylglycerol,1.0,0.1619718309859155
acylglycerol,1.0,0.16312056737588654
acylglycerol,1.0,0.16428571428571428
acylglycerol,1.0,0.16546762589928057
acylglycerol,1.0,0.16666666666666666
acylglycerol,1.0,0.1678832116788321
acylglycerol,1.0,0.16911764705882354
acylglycerol,1.0,0.17037037037037037
acylglycerol,1.0,0.17164179104477612
acylglycerol,1.0,0.17293233082706766
acylglycerol,1.0,0.17424242424242425
acylglycerol,1.0,0.17557251908396945
acylglycerol,1.0,0.17692307692307693
acylglycerol,1.0,0.17829457364341086
acylglycerol,1.0,0.1796875
acylglycerol,1.0,0.18110236220472442
acylglycerol,1.0,0.18253968253968253
acylglycerol,1.0,0.184
acylglycerol,1.0,0.18548387096774194
acylglycerol,1.0,0.18699186991869918
acylglycerol,1.0,0.1885245901639344
acylglycerol,1.0,0.19008264462809918
acylglycerol,1.0,0.19166666666666668
acylglycerol,1.0,0.19327731092436976
acylglycerol,1.0,0.19491525423728814
acylglycerol,1.0,0.19658119658119658
acylglycerol,1.0,0.19827586206896552
acylglycerol,1.0,0.2
acylglycerol,1.0,0.20175438596491227
acylglycerol,1.0,0.20353982300884957
acylglycerol,1.0,0.20535714285714285
acylglycerol,1.0,0.2072072072072072
acylglycerol,1.0,0.20909090909090908
acylglycerol,1.0,0.21100917431192662
acylglycerol,1.0,0.21296296296296297
acylglycerol,1.0,0.21495327102803738
acylglycerol,1.0,0.2169811320754717
acylglycerol,1.0,0.21904761904761905
