threshold,coverage,accuracy,risk
0.3000111038024127,1.0,0.6053333333333333,0.3946666666666667
0.31812251928174,0.9653333333333334,0.6187845303867403,0.3812154696132597
0.3296949810877266,0.9333333333333333,0.6371428571428571,0.3628571428571429
0.3453573426477862,0.9013333333333333,0.6331360946745562,0.3668639053254438
0.3508747010425978,0.8666666666666667,0.6338461538461538,0.36615384615384616
0.36133644515365304,0.8346666666666667,0.6389776357827476,0.3610223642172524
0.3911126073986656,0.8026666666666666,0.6411960132890365,0.3588039867109635
0.40557853386040427,0.7706666666666667,0.6539792387543253,0.3460207612456747
0.4239510414647397,0.736,0.6739130434782609,0.32608695652173914
0.432240354107241,0.704,0.6742424242424242,0.3257575757575758
0.43531405103225795,0.672,0.6865079365079365,0.3134920634920635
0.43975458969345227,0.64,0.7083333333333334,0.29166666666666663
0.44717222452287647,0.6053333333333333,0.7312775330396476,0.2687224669603524
0.46615429485581905,0.5733333333333334,0.7488372093023256,0.25116279069767444
0.4826693912803565,0.5413333333333333,0.7783251231527094,0.2216748768472906
0.4969609517982879,0.5093333333333333,0.7905759162303665,0.2094240837696335
0.502979383438481,0.4746666666666667,0.7808988764044944,0.2191011235955056
0.5135156109054829,0.44266666666666665,0.7771084337349398,0.22289156626506024
0.5345857658541086,0.4106666666666667,0.7792207792207793,0.22077922077922074
0.5468547931206044,0.37866666666666665,0.7816901408450704,0.21830985915492962
0.5758779159405747,0.344,0.7984496124031008,0.20155038759689925
0.609996146162708,0.312,0.7948717948717948,0.20512820512820518
0.6751876567157288,0.28,0.8,0.19999999999999996
0.7095938890899814,0.248,0.7849462365591398,0.21505376344086025
0.7244683150156103,0.21333333333333335,0.7625,0.23750000000000004
0.7817393622773666,0.18133333333333335,0.7794117647058824,0.22058823529411764
0.8490856350588546,0.14933333333333335,0.75,0.25
0.9156041017871651,0.11733333333333333,0.75,0.25
0.9591409663564676,0.08266666666666667,0.7741935483870968,0.22580645161290325
0.9802360775761139,0.050666666666666665,0.8421052631578947,0.1578947368421053
