axis,fpr,tpr
acylglycerol,0.0,0.0
acylglycerol,0.0,0.043478260869565216
acylglycerol,0.0,0.8695652173913043
acylglycerol,0.005681818181818182,0.8695652173913043
acylglycerol,0.005681818181818182,1.0
acylglycerol,1.0,1.0
carboxylic_acid_metabolite,0.0,0.0
carboxylic_acid_metabolite,0.0,0.043478260869565216
carboxylic_acid_metabolite,0.0,0.9130434782608695
carboxylic_acid_metabolite,0.005681818181818182,0.9130434782608695
carboxylic_acid_metabolite,0.005681818181818182,1.0
carboxylic_acid_metabolite,1.0,1.0
chromophore_pigment,0.0,0.0
chromophore_pigment,0.0,0.1
chromophore_pigment,0.0,1.0
chromophore_pigment,0.989041095890411,1.0
chromophore_pigment,1.0,1.0
fatty_acid,0.0,0.0
fatty_acid,0.0,0.037037037037037035
fatty_acid,0.0,0.48148148148148145
fatty_acid,0.0028735632183908046,0.48148148148148145
fatty_acid,0.0028735632183908046,0.7407407407407407
fatty_acid,0.008620689655172414,0.7407407407407407
fatty_acid,0.008620689655172414,0.7777777777777778
fatty_acid,0.011494252873563218,0.7777777777777778
fatty_acid,0.011494252873563218,0.9259259259259259
fatty_acid,0.014367816091954023,0.9259259259259259
fatty_acid,0.014367816091954023,0.9629629629629629
fatty_acid,0.0603448275862069,0.9629629629629629
fatty_acid,0.0603448275862069,1.0
fatty_acid,1.0,1.0
free_amino_acid,0.0,0.0
free_amino_acid,0.0,0.013333333333333334
free_amino_acid,0.0,0.64
free_amino_acid,0.0033333333333333335,0.64
free_amino_acid,0.0033333333333333335,0.8133333333333334
free_amino_acid,0.01,0.8133333333333334
free_amino_acid,0.01,0.8533333333333334
free_amino_acid,0.013333333333333334,0.8533333333333334
free_amino_acid,0.013333333333333334,0.9866666666666667
free_amino_acid,0.016666666666666666,0.9866666666666667
free_amino_acid,0.016666666666666666,1.0
free_amino_acid,1.0,1.0
mono_oligosaccharide,0.0,0.0
mono_oligosaccharide,0.0,0.023255813953488372
mono_oligosaccharide,0.0,0.8604651162790697
mono_oligosaccharide,0.009036144578313253,0.8604651162790697
mono_oligosaccharide,0.009036144578313253,1.0
mono_oligosaccharide,1.0,1.0
nucleic_acid_polymer,0.0,0.0
nucleic_acid_polymer,0.0,0.3333333333333333
nucleic_acid_polymer,0.0,1.0
nucleic_acid_polymer,0.9946236559139785,1.0
nucleic_acid_polymer,1.0,1.0
peptide_protein,0.0,0.0
peptide_protein,0.0,0.0125
peptide_protein,0.0,0.9875
peptide_protein,0.023728813559322035,0.9875
peptide_protein,0.023728813559322035,1.0
peptide_protein,1.0,1.0
phosphate_metabolite,0.0,0.0
phosphate_metabolite,0.0,0.09090909090909091
phosphate_metabolite,0.0,0.9090909090909091
phosphate_metabolite,0.013736263736263736,0.9090909090909091
phosphate_metabolite,0.013736263736263736,1.0
phosphate_metabolite,1.0,1.0
phospholipid_sphingolipid,0.0,0.0
phospholipid_sphingolipid,0.0,0.125
phospholipid_sphingolipid,0.0,1.0
phospholipid_sphingolipid,1.0,1.0
polysaccharide,0.0,0.0
polysaccharide,0.0,0.1
polysaccharide,0.0,0.7
polysaccharide,0.0027397260273972603,0.7
polysaccharide,0.0027397260273972603,1.0
polysaccharide,1.0,1.0
purine,0.0,0.0
purine,0.0,0.058823529411764705
purine,0.0,1.0
purine,0.994413407821229,1.0
purine,1.0,1.0
pyrimidine,0.0,0.0
pyrimidine,0.0,0.1111111111111111
pyrimidine,0.0,0.6666666666666666
pyrimidine,0.00273224043715847,0.6666666666666666
pyrimidine,0.00273224043715847,1.0
pyrimidine,0.9426229508196722,1.0
pyrimidine,1.0,1.0
small_nitrogenous,0.0,0.0
small_nitrogenous,0.0,0.14285714285714285
small_nitrogenous,0.0,0.8571428571428571
small_nitrogenous,0.005434782608695652,0.8571428571428571
small_nitrogenous,0.005434782608695652,1.0
small_nitrogenous,0.9293478260869565,1.0
small_nitrogenous,1.0,1.0
sterol_steroid,0.0,0.0
sterol_steroid,0.0,0.07692307692307693
sterol_steroid,0.0,1.0
sterol_steroid,1.0,1.0
sulfur_thiol_cofactor,0.0,0.0
sulfur_thiol_cofactor,0.0,0.0625
sulfur_thiol_cofactor,0.0,0.875
sulfur_thiol_cofactor,0.011142061281337047,0.875
sulfur_thiol_cofactor,0.011142061281337047,1.0
sulfur_thiol_cofactor,0.9944289693593314,1.0
sulfur_thiol_cofactor,1.0,1.0
