bin_center,empirical_accuracy,count
0.05,,0
0.15000000000000002,,0
0.25,,0
0.35000000000000003,0.3333333333333333,3
0.45,0.9444444444444444,18
0.55,1.0,6
0.6500000000000001,0.8333333333333334,12
0.75,0.875,16
0.8500000000000001,0.8571428571428571,21
0.95,0.9765886287625418,299
