cohort,n,G01_purine_nucleotide,G02_purine_metabolite,G03_pyrimidine_nucleotide,G04_nucleic_acid_phosphate,G05_glycan_carbohydrate,G06_protein_peptide_backbone,G07_aromatic_residue,G08_lipid_acyl_membrane,G09_sterol_neutral_lipid,G10_sulfur_thiol_redox,G11_metabolic_small_molecule
Asian Impact,8,0.130199966385378,0.016616432787144943,-0.2762829388679198,0.11922004479914322,0.4659250455738366,-0.10340463472658686,-0.14397840620851868,-0.04304314840918932,-0.0006106969387706459,-0.25851257043181636,-0.16732087670368528
Asian Strong-D,17,-0.25059058368997156,-0.07483916238287869,0.4665116581666224,-0.2925221880421695,0.068496596665016,-0.2185358528822485,-0.5463754873038325,0.22604571868249027,-0.9846304653991249,-0.6189609344387265,0.6287897610017847
White Impact,20,0.1894726865943241,0.037680566370814836,-0.5742285088645627,0.10500113490904424,-0.30918608339639714,0.2945323786349432,0.7111157872940256,-0.05749631463451778,0.9000187952028801,0.78952721524606,-0.6236705559213876
White Strong-D,5,-0.11420270804800195,0.07714459415908118,1.152827099880405,0.3838188280285712,0.25837583200639874,-0.2696601991776,-0.7564210424094459,-0.4697011475277082,-0.25135448335246013,-0.6400215712016679,0.6245104390053832
