perturbation,representation,aurc_A_top1,aurc_B_top1,aurc_activation_stability,clean_A_top1,clean_B_top1,worst_A_top1,retained_at_worst
gaussian_noise,RAW,0.9925582398554691,0.8569944598278749,0.898741350250576,0.7896440129449838,0.608,0.7669902912621359,0.9713114754086061
gaussian_noise,LSM,0.983830057063988,0.9796238244451032,0.9677397344259129,0.8058252427184466,0.8506666666666667,0.7605177993527508,0.9437751004004352
gaussian_noise,CSM,0.9808225015917356,0.9717986555110479,0.9722601657760412,0.7993527508090615,0.856,0.7508090614886731,0.9392712550595537
gaussian_noise,META,0.47802993722452103,0.9563193698457315,0.9914351519481822,0.35275080906148865,0.392,0.08737864077669903,0.24770642201764645
shot_noise,RAW,0.9970880068959918,1.0005771006394408,0.9806894711255892,0.7896440129449838,0.608,0.7831715210355987,0.9918032786872687
shot_noise,LSM,0.9929190445929925,1.0089094208811462,0.9968926565322503,0.8058252427184466,0.8506666666666667,0.7896440129449838,0.9799196787136434
shot_noise,CSM,1.0008523332557857,0.9936055090934622,0.9969857286667151,0.7993527508090615,0.856,0.7993527508090615,0.999999999998749
shot_noise,META,0.8153066151551553,1.0168277837371313,0.9986008014370342,0.35275080906148865,0.392,0.20711974110032363,0.5871559633010879
baseline_drift,RAW,0.9079234972653993,0.8137426900560563,0.9258404727050971,0.7896440129449838,0.608,0.6019417475728155,0.7622950819662477
baseline_drift,LSM,0.8255689424342871,0.8818181818159695,0.9037293865974363,0.8058252427184466,0.8506666666666667,0.5501618122977346,0.682730923693932
baseline_drift,CSM,0.8360323886618071,0.8910695742449153,0.9106956150349945,0.7993527508090615,0.856,0.5663430420711975,0.7085020242906117
baseline_drift,META,0.33883792048788436,0.8938775510169361,0.9576688097670423,0.35275080906148865,0.392,0.07119741100323625,0.20183486238474896
fluorescence,RAW,0.5816939890695261,0.5032163742675073,0.8179877847647941,0.7896440129449838,0.608,0.13915857605177995,0.17622950819649816
fluorescence,LSM,0.6084337349381929,0.6639498432585222,0.6972980218141674,0.8058252427184466,0.8506666666666667,0.1423948220064725,0.17670682730901768
fluorescence,CSM,0.6847503373801467,0.7633437175474156,0.7357377307488102,0.7993527508090615,0.856,0.20711974110032363,0.25910931174056656
fluorescence,META,0.10061162079468769,0.7562358276614616,0.8896072085476766,0.35275080906148865,0.392,0.006472491909385114,0.018348623853158996
cosmic_spikes,RAW,0.9456284152992858,0.8280701754371792,0.5458720017135281,0.7896440129449838,0.608,0.6666666666666666,0.8442622950808981
cosmic_spikes,LSM,0.7965194109762007,0.9059561128515391,0.8606845371616562,0.8058252427184466,0.8506666666666667,0.5469255663430421,0.6787148594369089
cosmic_spikes,CSM,0.8205128205117391,0.9244029075793361,0.866943635629288,0.7993527508090615,0.856,0.56957928802589,0.712550607286558
cosmic_spikes,META,0.20703363914313017,0.8621315192721195,0.9588711168319525,0.35275080906148865,0.392,0.022653721682847898,0.06422018348605649
intensity_scaling,RAW,0.9999999999982074,1.0043859649101001,0.9998500896707512,0.7896440129449838,0.608,0.7896440129449838,0.9999999999987337
intensity_scaling,LSM,1.0040160642552538,0.999999999998298,0.9999399162404718,0.8058252427184466,0.8506666666666667,0.8090614886731392,1.0040160642557823
intensity_scaling,CSM,0.9959514170022783,0.9999999999983055,0.9999407671941476,0.7993527508090615,0.856,0.7961165048543689,0.9959514170028025
intensity_scaling,META,1.0091743119232137,0.9999999999969227,0.9999704616855594,0.35275080906148865,0.392,0.3559870550161812,1.0091743119237448
peak_scaling,RAW,0.9989071038225399,1.0071637426870592,0.9850647456005683,0.7896440129449838,0.608,0.7766990291262136,0.9836065573758036
peak_scaling,LSM,0.9630522088328624,0.995193312432195,0.9767951991910541,0.8058252427184466,0.8506666666666667,0.7119741100323624,0.8835341365450883
peak_scaling,CSM,0.9534412955440947,0.981827622012082,0.9781420333169757,0.7993527508090615,0.856,0.7022653721682848,0.8785425101203583
peak_scaling,META,0.5180428134534982,0.9961451247126839,0.9926011042306633,0.35275080906148865,0.392,0.0970873786407767,0.27522935779738494
wavelength_shift,RAW,0.9157103825124405,0.916959064325916,0.9072616124180671,0.7896440129449838,0.608,0.5663430420711975,0.7172131147531902
wavelength_shift,LSM,0.8551539491287344,0.8885057471253329,0.8897464526120634,0.8058252427184466,0.8506666666666667,0.5242718446601942,0.6506024096377468
wavelength_shift,CSM,0.8535762483119655,0.8931464174443797,0.893706851933683,0.7993527508090615,0.856,0.5242718446601942,0.655870445343309
wavelength_shift,META,0.49418960244504917,0.9231292516982637,0.9768755895645944,0.35275080906148865,0.392,0.0970873786407767,0.27522935779738494
spectral_stretch,RAW,0.9843615184974197,0.9732225299564108,0.9801864991931261,0.7896440129449838,0.608,0.7637540453074434,0.9672131147528736
spectral_stretch,LSM,0.9603677868854852,0.969806962495252,0.9789310780661662,0.8058252427184466,0.8506666666666667,0.7281553398058253,0.903614457830204
spectral_stretch,CSM,0.9672917110069039,0.9686833906676752,0.9843933327770251,0.7993527508090615,0.856,0.7411003236245954,0.9271255060717146
spectral_stretch,META,0.6472718493122394,1.0279269602010639,0.993917983513303,0.35275080906148865,0.392,0.13915857605177995,0.39449541284291845
peak_dropout,RAW,0.9942250372547575,0.9473684210493512,0.9658840486851923,0.7896440129449838,0.608,0.7799352750809061,0.9877049180315361
peak_dropout,LSM,0.942862358522125,0.974636648614922,0.9653941399070392,0.8058252427184466,0.8506666666666667,0.7119741100323624,0.8835341365450883
peak_dropout,CSM,0.9297018770674448,0.9712546020928231,0.9659778637775971,0.7993527508090615,0.856,0.7022653721682848,0.8785425101203583
peak_dropout,META,0.5688073394468948,0.9956709956666455,0.9905743023288376,0.35275080906148865,0.392,0.11974110032362459,0.3394495412834414
band_broadening,RAW,0.9691256830588173,0.9011695906417325,0.9544407944466342,0.7896440129449838,0.608,0.6957928802588996,0.8811475409824907
band_broadening,LSM,0.905622489958655,0.9382445141054174,0.9419566279144767,0.8058252427184466,0.8506666666666667,0.6343042071197411,0.7871485943765333
band_broadening,CSM,0.9125506072862468,0.9463136033217804,0.9434756038470054,0.7993527508090615,0.856,0.6310679611650486,0.7894736842095387
band_broadening,META,0.5253822629954175,1.0394557823102042,0.9938366418779916,0.35275080906148865,0.392,0.08090614886731391,0.22935779816448743
combined,RAW,0.81206088992825,0.6625939849609377,0.8989198208533917,0.7896440129449838,0.608,0.3786407766990291,0.47950819672070427
combined,LSM,0.8514056224884168,0.8788625167920159,0.8581533455477917,0.8058252427184466,0.8506666666666667,0.4627831715210356,0.5742971887543075
combined,CSM,0.8846153846137723,0.9276813529133839,0.8851859639625349,0.7993527508090615,0.856,0.56957928802589,0.712550607286558
combined,META,0.17038007863637902,0.8634596695794224,0.951583118333593,0.35275080906148865,0.392,0.016181229773462782,0.045871559632897484
