perturbation,level,representation,A_top1,A_top5,A_mrr,B_top1,B_macro_f1,activation_stability,replicate_consistency
gaussian_noise,0.01,RAW,0.7928802588996764,0.8964401294498382,0.8409405192815191,0.608,0.5204858278129597,0.9984038071403496,0.9027190068118894
gaussian_noise,0.01,LSM,0.8090614886731392,0.9158576051779935,0.8526049878762098,0.8533333333333334,0.8031868895435769,0.9998008731577808,0.8904810309163488
gaussian_noise,0.01,CSM,0.7993527508090615,0.912621359223301,0.8501833414323291,0.8533333333333334,0.8081214295525229,0.9997940216240978,0.8923215456645078
gaussian_noise,0.01,META,0.32362459546925565,0.5533980582524272,0.4327913143526203,0.4106666666666667,0.21885030138196304,0.9998856815255014,0.9802450265725089
gaussian_noise,0.02,RAW,0.7896440129449838,0.8932038834951457,0.8397686357319124,0.608,0.5201898306419626,0.9944602647938581,0.8973975967422961
gaussian_noise,0.02,LSM,0.8122977346278317,0.912621359223301,0.855163956073853,0.8533333333333334,0.8031868895435769,0.999328746494315,0.889737209584143
gaussian_noise,0.02,CSM,0.7993527508090615,0.912621359223301,0.8487982753308063,0.8533333333333334,0.8081214295525229,0.9993088198690941,0.8914835267657665
gaussian_noise,0.02,META,0.2750809061488673,0.5210355987055016,0.39687580770607667,0.424,0.231894434396979,0.9995918424433866,0.9800239800884399
gaussian_noise,0.05,RAW,0.7896440129449838,0.8932038834951457,0.8394625204289434,0.5866666666666667,0.5010302905688964,0.9711537160604453,0.8657042536209193
gaussian_noise,0.05,LSM,0.8090614886731392,0.912621359223301,0.8537069343499525,0.8533333333333334,0.8040392375458632,0.9953894031166829,0.8857662428448758
gaussian_noise,0.05,CSM,0.7993527508090615,0.9158576051779935,0.851521776699762,0.848,0.8039987668174349,0.9955103730046799,0.8863944493653828
gaussian_noise,0.05,META,0.21035598705501618,0.46601941747572817,0.3380512332585508,0.4106666666666667,0.22030080844679797,0.9979464187169066,0.9783906488247325
gaussian_noise,0.1,RAW,0.7896440129449838,0.8802588996763754,0.8360467156372486,0.5306666666666666,0.4273203531355862,0.9098836024390404,0.7871982899450266
gaussian_noise,0.1,LSM,0.7993527508090615,0.8996763754045307,0.8474644475728618,0.84,0.7913456171601586,0.9796441611633687,0.8727397462469746
gaussian_noise,0.1,CSM,0.7928802588996764,0.912621359223301,0.8461194336518717,0.832,0.7912413681949528,0.9813366541072878,0.8716034266682215
gaussian_noise,0.1,META,0.16181229773462782,0.37540453074433655,0.27682539122703126,0.37333333333333335,0.20333155050971816,0.9931765764391786,0.9760146636591531
gaussian_noise,0.2,RAW,0.7669902912621359,0.8543689320388349,0.8115642476149878,0.4106666666666667,0.3262499957443949,0.7758442678350842,0.63724911566535
gaussian_noise,0.2,LSM,0.7605177993527508,0.8932038834951457,0.8178299154223028,0.7973333333333333,0.7587237993007646,0.9119216406895978,0.8242894786513912
gaussian_noise,0.2,CSM,0.7508090614886731,0.8673139158576052,0.8108990305674767,0.808,0.7589658091854884,0.9264724202973736,0.8241231251095507
gaussian_noise,0.2,META,0.08737864077669903,0.2459546925566343,0.17578150099119683,0.3253333333333333,0.15462193907898691,0.979506272664491,0.9695895692642388
shot_noise,0.01,RAW,0.7928802588996764,0.8964401294498382,0.8407439925929733,0.608,0.5220163289022843,0.9997086006107211,0.904242341963197
shot_noise,0.01,LSM,0.8090614886731392,0.9158576051779935,0.8535954340493168,0.8533333333333334,0.8032783672148418,0.9999210700768593,0.8908467414139188
shot_noise,0.01,CSM,0.7993527508090615,0.912621359223301,0.8505298311052805,0.8533333333333334,0.8081214295525229,0.9999201883236307,0.8926798135133868
shot_noise,0.01,META,0.3559870550161812,0.5533980582524272,0.4544836233393582,0.3973333333333333,0.21062844260365357,0.9999573065461393,0.980290567236765
shot_noise,0.02,RAW,0.7928802588996764,0.8964401294498382,0.8407546655831256,0.608,0.5220163289022843,0.9992844051021809,0.9034341355650711
shot_noise,0.02,LSM,0.8090614886731392,0.9158576051779935,0.8524011051850849,0.856,0.805766987663021,0.9998562438977048,0.8907644120927899
shot_noise,0.02,CSM,0.7993527508090615,0.912621359223301,0.850260197167223,0.8533333333333334,0.8081214295525229,0.9998581433647348,0.8926192060486051
shot_noise,0.02,META,0.3365695792880259,0.5533980582524272,0.4441766760926734,0.39466666666666667,0.20962823342790593,0.999922494062587,0.9801672750010216
shot_noise,0.05,RAW,0.7928802588996764,0.8964401294498382,0.8406359465975763,0.608,0.5230371909038565,0.9963346824429482,0.8980135536291857
shot_noise,0.05,LSM,0.8090614886731392,0.912621359223301,0.8519272178521218,0.8586666666666667,0.8103541651274511,0.9993963649087655,0.890200008477218
shot_noise,0.05,CSM,0.8025889967637541,0.912621359223301,0.8510067446270462,0.8533333333333334,0.8082741122104795,0.9994224204962255,0.8920344056169269
shot_noise,0.05,META,0.3300970873786408,0.5339805825242718,0.4329280557138799,0.39466666666666667,0.20085788318497821,0.9996917418881385,0.9796397073348156
shot_noise,0.1,RAW,0.7831715210355987,0.8964401294498382,0.8366531220673954,0.6053333333333333,0.5168685488849165,0.986151776929992,0.8797072296803289
shot_noise,0.1,LSM,0.7993527508090615,0.9158576051779935,0.848164263018856,0.8586666666666667,0.8098343569818409,0.9978548963737544,0.8884400450141295
shot_noise,0.1,CSM,0.7993527508090615,0.9093851132686084,0.8499497783147157,0.8533333333333334,0.8077215125882182,0.9979111994816856,0.8898846226084274
shot_noise,0.1,META,0.30097087378640774,0.49514563106796117,0.3993446690944574,0.3973333333333333,0.19759488406769238,0.9989637358073676,0.9780423488556551
shot_noise,0.2,RAW,0.7864077669902912,0.8964401294498382,0.836854713085668,0.6133333333333333,0.5283736407324888,0.950639956849289,0.8181318761652553
shot_noise,0.2,LSM,0.7896440129449838,0.912621359223301,0.8420721430672886,0.8586666666666667,0.8167599017008846,0.9919580537918657,0.8813747068386171
shot_noise,0.2,CSM,0.7993527508090615,0.9061488673139159,0.8495793222779173,0.8426666666666667,0.8073696512795986,0.9922057571594802,0.8812401774363386
shot_noise,0.2,META,0.20711974110032363,0.4563106796116505,0.33315939786274384,0.4053333333333333,0.20899738320908173,0.9965193199832862,0.9732763179159761
baseline_drift,0.05,RAW,0.7896440129449838,0.8867313915857605,0.8387691058598633,0.592,0.4939940445677362,0.9969577314999833,0.9010425778904909
baseline_drift,0.05,LSM,0.7993527508090615,0.9158576051779935,0.8470767207868434,0.8533333333333334,0.8032783672148418,0.9970512079594197,0.8879261565810507
baseline_drift,0.05,CSM,0.7896440129449838,0.9093851132686084,0.8424668128015901,0.848,0.8040105142010867,0.9972158834061963,0.8890147324353594
baseline_drift,0.05,META,0.2588996763754045,0.4919093851132686,0.3764188001857913,0.4,0.21365010304895057,0.9977277950053584,0.9786024681458213
baseline_drift,0.1,RAW,0.7896440129449838,0.8802588996763754,0.8372500314454908,0.576,0.47494329277617325,0.9905185833449498,0.8924205310499201
baseline_drift,0.1,LSM,0.7831715210355987,0.912621359223301,0.8359488783607049,0.8506666666666667,0.8036374337531945,0.9906404918338918,0.8815469210819099
baseline_drift,0.1,CSM,0.7799352750809061,0.9029126213592233,0.8350166469613555,0.84,0.7951762687544682,0.9910339424928537,0.8816358492171024
baseline_drift,0.1,META,0.20064724919093851,0.44660194174757284,0.32376773322121183,0.37866666666666665,0.20088298982249211,0.9939840760276426,0.9741904569171194
baseline_drift,0.2,RAW,0.7799352750809061,0.8705501618122977,0.8273582987400661,0.5493333333333333,0.44328476417988505,0.9726752091259178,0.8679175241605079
baseline_drift,0.2,LSM,0.7411003236245954,0.8964401294498382,0.8082165339125376,0.8346666666666667,0.7885389478779965,0.9701665200643136,0.8601848827643755
baseline_drift,0.2,CSM,0.7313915857605178,0.8867313915857605,0.8021678994942452,0.824,0.7791338540478253,0.9719988614506947,0.8613352142693841
baseline_drift,0.2,META,0.15210355987055016,0.36245954692556637,0.261765951304789,0.376,0.19496691162544302,0.9845516727312397,0.9632986984896483
baseline_drift,0.4,RAW,0.7378640776699029,0.8478964401294499,0.792790045821562,0.49866666666666665,0.40944842060245173,0.9319844061407904,0.8139636344034984
baseline_drift,0.4,LSM,0.6634304207119741,0.8673139158576052,0.7474761903600979,0.7653333333333333,0.7091477075089315,0.913798335917466,0.8019799469133683
baseline_drift,0.4,CSM,0.6666666666666666,0.8673139158576052,0.7534185957100411,0.7733333333333333,0.7310035314355008,0.9209209184647552,0.8102197470566872
baseline_drift,0.4,META,0.10355987055016182,0.2783171521035599,0.1998076189514241,0.3626666666666667,0.1724256602732761,0.9622350335458347,0.9375503327129522
baseline_drift,0.8,RAW,0.6019417475728155,0.7313915857605178,0.6642600639598732,0.4053333333333333,0.3346442020345719,0.8483545714047371,0.710935232189849
baseline_drift,0.8,LSM,0.5501618122977346,0.7087378640776699,0.6308919756924122,0.6133333333333333,0.5780070513729063,0.7945412203912225,0.6895438023251951
baseline_drift,0.8,CSM,0.5663430420711975,0.7346278317152104,0.647314014880302,0.6613333333333333,0.6074358852580641,0.8084383187434497,0.6973876953277933
baseline_drift,0.8,META,0.07119741100323625,0.20064724919093851,0.15188679845152575,0.296,0.14552484136338956,0.9120317288815707,0.8826934569636262
fluorescence,0.05,RAW,0.8025889967637541,0.883495145631068,0.8468944918267615,0.56,0.48029755480224184,0.9892919617981585,0.9131482032201734
fluorescence,0.05,LSM,0.8025889967637541,0.912621359223301,0.8517578235843131,0.832,0.784980752702152,0.9882870748738298,0.883684748777603
fluorescence,0.05,CSM,0.8025889967637541,0.9061488673139159,0.8514862252150823,0.848,0.8066364979314464,0.9902554874346569,0.8861094947607726
fluorescence,0.05,META,0.1488673139158576,0.4368932038834951,0.28753230256815254,0.408,0.2221048146532883,0.9936902072723548,0.9768043993382758
fluorescence,0.1,RAW,0.7961165048543689,0.8802588996763754,0.8401605962606571,0.48,0.3928150878557346,0.9655408445478567,0.913200344645614
fluorescence,0.1,LSM,0.8122977346278317,0.9061488673139159,0.8550962088809446,0.816,0.768552746288953,0.9584511369564783,0.8650999091022856
fluorescence,0.1,CSM,0.7961165048543689,0.9061488673139159,0.8461356075494771,0.8346666666666667,0.790703692623084,0.9673947575212363,0.8703164777109248
