representation,dim,A_top1,A_top3,A_top5,A_mrr,B_top1,B_top3,B_top5,B_balanced_accuracy,B_macro_f1,replicate_consistency,cross_fold_reproducibility,activation_sparsity,effective_rank,participation_ratio,biochemical_coherence,information_retained_vs_csm,knn_preservation_vs_csm,redundancy
RAW,676,0.7896440129449838,0.8705501618122977,0.8932038834951457,0.8386967213579313,0.608,0.656,0.688,0.5161381514744983,0.5222773179132734,0.9037465738727568,0.8576128391254391,0.474588426585492,18.05288658339423,21.86060797347231,5.995916918110942,1.0,0.6144000000000001,0.9979265927117621
LSM,50,0.8058252427184466,0.8705501618122977,0.9158576051779935,0.852299206903575,0.8506666666666667,0.8853333333333333,0.9173333333333333,0.7857732164848402,0.8007118406041975,0.8914831290132745,0.9098310282719108,0.8838069450123398,42.08134656504711,37.105280295570346,7.260784661753886,0.9924093326963277,0.8922666666666665,0.5826704197002285
CSM,49,0.7993527508090615,0.8737864077669902,0.912621359223301,0.850264241353241,0.856,0.9013333333333333,0.928,0.8027192349565476,0.8101672781808837,0.8932649217432332,0.9111980177638284,0.8778124202920399,41.033309127370444,35.55261576651508,7.327356648261411,1.0,1.0,0.5602291745035142
META,3,0.35275080906148865,0.47896440129449835,0.5501618122977346,0.45324953709968113,0.392,0.5706666666666667,0.6426666666666667,0.19540637696219504,0.19649151547589247,0.9800493707324383,0.8924455665093829,0.7610142506393665,2.895503809982821,2.5106668545394437,4.265045268915332,0.18478320846102947,0.23893333333333333,0.07551871313847194
