variant,K,reconstruction_error,explained_variance,bootstrap_stability,bootstrap_min,consensus_stability,component_sparsity,effective_rank,redundancy,mutual_coherence,interpretability,activation_entropy,participation_ratio
plain,2,0.9322564064054361,0.13089799271589786,0.9368548421594836,0.7488961527151603,0.4710685843002365,0.576735751154924,1.9386388368646912,0.06523787345630955,0.06523787345630955,6.916460905281454,0.3448635904302519,1.7303514716306474
plain,3,0.9030336895245562,0.18453015558355168,0.9953734011644978,0.9909398047951594,0.9348130511665018,0.6580096466636389,2.8955043885742557,0.06922968359828627,0.04888405715033989,7.245816186485334,0.3621798792986805,2.510685804895162
plain,4,0.8827787228289733,0.22070172652033582,0.8533912620161855,0.717372017483548,0.6976457648179529,0.7176947524008629,3.8706094786860534,0.07049131839168192,0.041400619021178094,6.422427983475637,0.33364404879392445,3.4660545467161388
plain,5,0.862864015966405,0.2554656899502211,0.8564340144042569,0.7471839977495558,0.6942468198442616,0.7367423262767765,4.82294171260387,0.0953568514922801,0.038808383231126675,6.323621399114473,0.367523586962535,4.396911165073003
plain,6,0.8429342118607254,0.289461914474636,0.8972217879065626,0.7373046987767254,0.7563102461104095,0.7642800845584614,5.814422627988383,0.11036275301819057,0.0358254946900226,5.928395061669818,0.34023925778595754,5.214572655263404
plain,8,0.8070654904358168,0.348645294147502,0.9179995548031131,0.7742473136588381,0.8143726092559628,0.79075830368927,7.699962240970867,0.09983733344552363,0.031497796336121806,5.4343621398640005,0.3833391772526037,7.0073561560715225
plain,10,0.7728930837871338,0.40263628103392923,0.8344287597977412,0.6935266386391585,0.8296421218226556,0.8208690353056284,9.427516374920142,0.09930677376545237,0.026824041577861966,5.335555555502837,0.3976244032478465,8.574648924320943
plain,12,0.7388541624667605,0.45409452660546423,0.8628198941799738,0.7581748879457576,0.8779164623932143,0.8367530559366295,11.115729580178165,0.10892095853068563,0.024050670897223927,4.775651577456243,0.37848952304619504,10.23898063351977
geometry_regularised,2,0.9322564955306539,0.13089782654077986,0.9368201120421598,0.7497165608896226,0.46292015801287634,0.575997863915713,1.9867424297039902,0.06544507365416383,0.06544507365416383,6.916460905281454,0.3579929705766313,1.6969675967801743
geometry_regularised,3,0.9030338210854237,0.1845299179757418,0.9953723862097535,0.990960396449203,0.9215908848349239,0.6575285529963767,2.9286928899878357,0.06936475329310379,0.04903865725487531,7.245816186485334,0.38048543109080935,2.4478041239692248
geometry_regularised,4,0.8827788782086965,0.22070145218848392,0.8532939832054691,0.7171359074858006,0.6992788495897936,0.7172936287035883,3.8995184854492,0.07071613560354564,0.04153153516520968,6.422427983475637,0.35367053680005456,3.364771611755595
geometry_regularised,5,0.8628641894330613,0.2554653905939198,0.8576095051211516,0.74711979402149,0.7016460879374707,0.7363282161875454,4.843826995180157,0.09594576118896303,0.03897505512842993,6.323621399114473,0.37553852545904987,4.303280665953272
geometry_regularised,6,0.842934406278617,0.2894615867116137,0.8972180702919911,0.7380845348268972,0.7881715323072769,0.7639443052750133,5.6973446362444555,0.11061762227698078,0.035919888919139095,5.928395061669818,0.3511759403206419,5.015512330509554
geometry_regularised,8,0.8070656238573999,0.34864507878757256,0.9179571745109399,0.7737710907629707,0.8315362171511527,0.7903910574005044,7.774382113212907,0.09997875160875042,0.03160166342712328,5.4343621398640005,0.3853290816099453,7.127455431841457
geometry_regularised,10,0.772893052440017,0.40263632948986794,0.8350585944442547,0.6929492180014487,0.8462166759551119,0.8207562363036709,9.744674876850974,0.0993738525688382,0.026887741468718144,5.335555555502837,0.3935941601695279,9.054066655542625
geometry_regularised,12,0.738854243598129,0.4540944067169582,0.8627840128981943,0.7601260718096529,0.8888751951833781,0.8366182254903425,11.668710328542558,0.10887636939317728,0.024080271642784222,4.775651577456243,0.37407247271425187,10.914841445685683
