component,n_motifs,silhouette,size_gini,max_motif_share,sizes
10,5,0.414466,0.427907,0.44186,"[19, 13, 7, 3, 1]"
10,6,0.434087,0.321705,0.302326,"[13, 10, 9, 7, 3, 1]"
10,7,0.436049,0.372093,0.302326,"[13, 10, 9, 4, 3, 3, 1]"
10,8,0.371116,0.375,0.255814,"[11, 10, 9, 4, 3, 3, 2, 1]"
10,9,0.395128,0.356589,0.255814,"[11, 10, 5, 4, 4, 3, 3, 2, 1]"
11,2,0.44631,0.08,0.58,"[29, 21]"
11,3,0.393674,0.226667,0.46,"[23, 21, 6]"
11,4,0.380332,0.34,0.46,"[23, 17, 6, 4]"
11,5,0.390342,0.256,0.34,"[17, 12, 11, 6, 4]"
11,6,0.415719,0.266667,0.34,"[17, 11, 6, 6, 6, 4]"
11,7,0.398226,0.36,0.34,"[17, 11, 6, 6, 6, 2, 2]"
11,8,0.386931,0.41,0.34,"[17, 11, 6, 6, 4, 2, 2, 2]"
11,9,0.394979,0.453333,0.34,"[17, 11, 6, 5, 4, 2, 2, 2, 1]"
12,2,0.431777,0.46,0.96,"[48, 2]"
12,3,0.176833,0.493333,0.78,"[39, 9, 2]"
12,4,0.18662,0.59,0.76,"[38, 9, 2, 1]"
12,5,0.211054,0.44,0.42,"[21, 17, 9, 2, 1]"
12,6,0.240644,0.42,0.34,"[17, 16, 9, 5, 2, 1]"
12,7,0.256541,0.371429,0.32,"[16, 10, 9, 7, 5, 2, 1]"
12,8,0.288138,0.385,0.28,"[14, 10, 9, 7, 5, 2, 2, 1]"
12,9,0.307295,0.4,0.28,"[14, 9, 8, 7, 5, 2, 2, 2, 1]"
13,2,0.371114,0.45,0.95,"[38, 2]"
13,3,0.284501,0.516667,0.825,"[33, 5, 2]"
13,4,0.29683,0.5625,0.775,"[31, 5, 2, 2]"
13,5,0.323401,0.42,0.425,"[17, 14, 5, 2, 2]"
13,6,0.374359,0.416667,0.425,"[17, 10, 5, 4, 2, 2]"
13,7,0.36562,0.478571,0.425,"[17, 10, 5, 3, 2, 2, 1]"
13,8,0.383373,0.4,0.3,"[12, 10, 5, 5, 3, 2, 2, 1]"
13,9,0.440151,0.355556,0.3,"[12, 6, 5, 5, 4, 3, 2, 2, 1]"
14,2,0.329959,0.12069,0.62069,"[36, 22]"
14,3,0.380024,0.367816,0.586207,"[34, 22, 2]"
14,4,0.406516,0.336207,0.413793,"[24, 22, 10, 2]"
14,5,0.387513,0.331034,0.37931,"[22, 16, 10, 8, 2]"
14,6,0.329222,0.385057,0.344828,"[20, 16, 10, 8, 2, 2]"
14,7,0.327673,0.448276,0.344828,"[20, 15, 10, 8, 2, 2, 1]"
14,8,0.286738,0.49569,0.344828,"[20, 15, 9, 8, 2, 2, 1, 1]"
14,9,0.319886,0.517241,0.344828,"[20, 15, 9, 5, 3, 2, 2, 1, 1]"
15,2,0.369762,0.202703,0.702703,"[26, 11]"
15,3,0.404173,0.324324,0.594595,"[22, 11, 4]"
15,4,0.435049,0.277027,0.432432,"[16, 11, 6, 4]"
15,5,0.495604,0.248649,0.324324,"[12, 11, 6, 4, 4]"
15,6,0.520448,0.220721,0.297297,"[11, 8, 6, 4, 4, 4]"
15,7,0.552439,0.316602,0.297297,"[11, 8, 6, 4, 4, 2, 2]"
15,8,0.571352,0.361486,0.297297,"[11, 8, 6, 4, 2, 2, 2, 2]"
15,9,0.555451,0.39039,0.297297,"[11, 7, 6, 4, 2, 2, 2, 2, 1]"
16,2,0.581333,0.204918,0.704918,"[43, 18]"
16,3,0.585303,0.393443,0.704918,"[43, 11, 7]"
16,4,0.563569,0.471311,0.655738,"[40, 11, 7, 3]"
16,5,0.597828,0.52459,0.622951,"[38, 11, 7, 3, 2]"
16,6,0.456652,0.428962,0.459016,"[28, 11, 10, 7, 3, 2]"
16,7,0.441127,0.473068,0.459016,"[28, 11, 10, 4, 3, 3, 2]"
16,8,0.450665,0.469262,0.459016,"[28, 10, 7, 4, 4, 3, 3, 2]"
16,9,0.47664,0.404372,0.360656,"[22, 10, 7, 6, 4, 4, 3, 3, 2]"
17,2,0.301154,0.329268,0.829268,"[34, 7]"
17,3,0.256267,0.276423,0.585366,"[24, 10, 7]"
17,4,0.305109,0.128049,0.341463,"[14, 10, 10, 7]"
17,5,0.338804,0.243902,0.341463,"[14, 10, 7, 7, 3]"
17,6,0.332176,0.321138,0.341463,"[14, 10, 7, 4, 3, 3]"
17,7,0.341003,0.299652,0.341463,"[14, 7, 6, 4, 4, 3, 3]"
17,8,0.373499,0.307927,0.341463,"[14, 7, 4, 4, 3, 3, 3, 3]"
17,9,0.409938,0.211382,0.195122,"[8, 7, 6, 4, 4, 3, 3, 3, 3]"
18,2,0.310112,0.291667,0.791667,"[38, 10]"
18,3,0.268153,0.208333,0.520833,"[25, 13, 10]"
18,4,0.2818,0.1875,0.375,"[18, 13, 10, 7]"
18,5,0.300356,0.241667,0.375,"[18, 10, 8, 7, 5]"
18,6,0.239232,0.277778,0.375,"[18, 8, 7, 6, 5, 4]"
18,7,0.246345,0.345238,0.354167,"[17, 8, 7, 6, 5, 4, 1]"
18,8,0.27594,0.348958,0.354167,"[17, 7, 6, 5, 4, 4, 4, 1]"
18,9,0.322109,0.24537,0.208333,"[10, 7, 7, 6, 5, 4, 4, 4, 1]"
19,2,0.133943,0.313953,0.813953,"[35, 8]"
19,3,0.14506,0.449612,0.744186,"[32, 8, 3]"
19,4,0.141355,0.517442,0.697674,"[30, 8, 3, 2]"
19,5,0.178603,0.493023,0.604651,"[26, 8, 4, 3, 2]"
19,6,0.220957,0.468992,0.534884,"[23, 8, 4, 3, 3, 2]"
19,7,0.208485,0.531561,0.534884,"[23, 8, 4, 3, 2, 2, 1]"
19,8,0.256905,0.462209,0.418605,"[18, 8, 5, 4, 3, 2, 2, 1]"
19,9,0.289386,0.444444,0.372093,"[16, 8, 5, 4, 3, 2, 2, 2, 1]"
20,2,0.190758,0.269231,0.769231,"[30, 9]"
20,3,0.193193,0.376068,0.666667,"[26, 9, 4]"
20,4,0.246732,0.326923,0.512821,"[20, 9, 6, 4]"
20,5,0.251097,0.441026,0.512821,"[20, 9, 5, 4, 1]"
20,6,0.211416,0.5,0.512821,"[20, 8, 5, 4, 1, 1]"
20,7,0.242675,0.43956,0.410256,"[16, 8, 5, 4, 4, 1, 1]"
20,8,0.2352,0.419872,0.410256,"[16, 5, 5, 4, 4, 3, 1, 1]"
20,9,0.262617,0.37037,0.333333,"[13, 5, 5, 4, 4, 3, 3, 1, 1]"
21,2,0.116171,0.280488,0.780488,"[32, 9]"
21,3,0.173145,0.195122,0.512195,"[21, 11, 9]"
21,4,0.193043,0.323171,0.463415,"[19, 11, 9, 2]"
21,5,0.209135,0.321951,0.365854,"[15, 11, 9, 4, 2]"
21,6,0.24394,0.337398,0.365854,"[15, 9, 7, 4, 4, 2]"
21,7,0.186621,0.397213,0.365854,"[15, 8, 7, 4, 4, 2, 1]"
21,8,0.225077,0.362805,0.292683,"[12, 8, 7, 4, 4, 3, 2, 1]"
21,9,0.20346,0.401084,0.292683,"[12, 8, 6, 4, 4, 3, 2, 1, 1]"
22,2,0.277079,0.287879,0.787879,"[52, 14]"
22,3,0.394729,0.151515,0.439394,"[29, 23, 14]"
22,4,0.327625,0.19697,0.348485,"[23, 21, 14, 8]"
22,5,0.336953,0.284848,0.348485,"[23, 21, 8, 8, 6]"
22,6,0.353527,0.292929,0.318182,"[21, 18, 8, 8, 6, 5]"
22,7,0.3587,0.372294,0.318182,"[21, 17, 8, 8, 6, 5, 1]"
22,8,0.36864,0.424242,0.30303,"[20, 17, 8, 8, 6, 5, 1, 1]"
22,9,0.369619,0.464646,0.30303,"[20, 16, 8, 8, 6, 5, 1, 1, 1]"
23,2,0.243105,0.208333,0.708333,"[17, 7]"
23,3,0.298536,0.361111,0.625,"[15, 7, 2]"
23,4,0.312721,0.416667,0.625,"[15, 4, 3, 2]"
23,5,0.3668,0.35,0.5,"[12, 4, 3, 3, 2]"
23,6,0.394491,0.263889,0.375,"[9, 4, 3, 3, 3, 2]"
23,7,0.382415,0.297619,0.333333,"[8, 4, 3, 3, 3, 2, 1]"
23,8,0.359837,0.322917,0.333333,"[8, 3, 3, 3, 3, 2, 1, 1]"
23,9,0.366622,0.324074,0.291667,"[7, 3, 3, 3, 3, 2, 1, 1, 1]"
