analyte,family,expected_theme,C_latent,latent_null95,latent_rank,latent_q,latent_recovered,latent_supporting,C_MSS,MSS_null95,MSS_rank,MSS_q,MSS_recovered,MSS_supporting,C_theme_raw,theme_raw_null_med,theme_identity,theme_id_null95,theme_id_rank,theme_id_q,expected_theme_top3,theme_recovered,rank_rho,top2,top3,top3_null,top3_over_null,argmax_agree,argmax_robust,margin_R,margin_S,perturbation_validated,perturbation_status,serum_tested,serum_tier,matrix_recovered,delta_purine,purine_R,purine_S,ood_sers,confidence_sers,evidence_profile
glucose,saccharide,saccharide_glycan,0.2555,0.2988,22,0.6389,False,False,0.5358,0.5668,11,0.6667,False,False,0.8458,0.8313,-0.4605,-0.1523,17,0.8919,True,False,0.8545,1.0,0.667,0.673,False,False,False,0.2185,0.0295,False,not tested,True,weak,False,0.024,0.1717,0.1958,0.124,0.2052,no analyte-specific evidence
glutamate,amino_acid,aromatic_amino_acid|protein_peptide,0.3337,0.4687,47,0.9592,False,False,0.6553,0.7582,47,0.9792,False,False,0.9535,0.952,0.1533,0.3271,32,0.8919,False,False,0.9273,0.5,1.0,0.98,True,False,False,0.0097,0.0379,False,not tested,True,weak,False,0.0577,0.1498,0.2075,0.1491,0.2059,broad-theme only
glutathione,cofactor,sulfur_antioxidant,0.7271,0.6977,1,0.1429,True,False,0.9554,0.9706,38,0.8261,False,False,0.9858,0.9844,0.6482,0.7087,14,0.8889,False,False,0.9818,1.0,1.0,0.98,True,True,True,0.0235,0.0586,False,not tested,True,moderate,False,0.0419,0.1809,0.2228,0.1361,0.2291,broad-theme only
glycerol,polyol,saccharide_glycan,0.47,0.4837,6,0.4,False,False,0.5963,0.6308,20,0.7,False,False,0.8044,0.795,-0.7601,-0.3507,23,0.8919,True,False,0.7273,0.5,0.333,0.353,False,False,False,0.2396,0.0472,False,not tested,True,moderate,False,0.1365,0.0727,0.2093,0.096,0.2084,no analyte-specific evidence
glycine,amino_acid,aromatic_amino_acid|protein_peptide,0.2465,0.2794,15,0.5556,False,False,0.8973,0.9267,26,0.7,False,False,0.8118,0.7941,-0.2531,-0.1903,8,0.7273,False,False,0.7636,0.5,0.333,0.347,False,False,False,0.0127,0.0342,False,not tested,True,weak,False,0.1117,0.0814,0.1931,0.1254,0.2117,no analyte-specific evidence
glycogen,polysaccharide,saccharide_glycan,0.6837,0.69,7,0.4,False,False,0.9023,0.9093,9,0.6429,False,False,0.9572,0.9613,0.0647,0.3188,33,0.8919,True,False,0.9545,1.0,1.0,0.98,True,False,False,0.0666,0.0545,False,not tested,True,moderate,False,0.0454,0.1648,0.2102,0.137,0.211,broad-theme only
guanine,purine,nucleic_purine,0.631,0.3512,2,0.2222,False,True,0.8745,0.7635,3,0.4,False,True,0.8758,0.8131,0.9241,0.8599,2,0.4,True,False,0.8727,0.5,0.333,0.347,False,True,True,0.4013,0.0951,False,not tested,True,strong,True,-0.2522,0.5102,0.258,0.159,0.2327,matrix-recovered
histidine,amino_acid,aromatic_amino_acid|protein_peptide,0.4868,0.5507,14,0.5556,False,False,0.8677,0.9106,42,0.8936,False,False,0.9256,0.9385,-0.7794,-0.3298,47,0.94,False,False,0.9364,1.0,0.667,0.68,False,False,False,0.0855,0.0645,False,not tested,True,moderate,False,0.0664,0.1451,0.2115,0.1542,0.1969,no analyte-specific evidence
hydroxyproline,amino_acid,aromatic_amino_acid|protein_peptide,0.241,0.2663,15,0.5556,False,False,0.6319,0.6638,23,0.7,False,False,0.8238,0.8174,-0.5354,-0.2907,27,0.8919,False,False,0.8273,0.5,0.333,0.347,False,False,False,0.1462,0.0437,False,not tested,True,strong,True,0.1117,0.0918,0.2035,0.1242,0.2034,matrix-recovered
hypoxanthine,purine,nucleic_purine,0.8443,0.8083,1,0.1429,True,False,0.9642,0.9584,2,0.4,False,True,0.9914,0.9802,0.8269,0.6959,1,0.25,True,True,0.9545,1.0,0.667,0.673,False,True,True,0.0618,0.0868,False,not tested,True,strong,True,0.0039,0.2229,0.2268,0.1313,0.2463,theme-specific; matrix-recovered
isoleucine,amino_acid,aromatic_amino_acid|protein_peptide,0.5932,0.5938,4,0.3077,False,False,0.8301,0.8638,32,0.7619,False,False,0.9379,0.9461,-0.9043,-0.5399,37,0.9024,False,False,0.8727,1.0,0.667,0.673,False,False,False,0.0821,0.064,False,not tested,True,moderate,False,0.0804,0.1347,0.2152,0.1672,0.1963,no analyte-specific evidence
lactate,organic_acid,organic_acid_metabolism,0.402,0.4179,8,0.4,False,False,0.5653,0.5983,22,0.7,False,False,0.7821,0.7894,-0.6338,-0.2966,40,0.9091,True,False,0.8364,0.5,0.333,0.347,False,False,False,0.2402,0.0537,False,not tested,True,moderate,False,0.1214,0.0858,0.2072,0.1239,0.2115,no analyte-specific evidence
leucine,amino_acid,aromatic_amino_acid|protein_peptide,0.4373,0.4871,22,0.6389,False,False,0.7764,0.7994,16,0.7,False,False,0.9349,0.929,-0.6361,-0.2219,42,0.9333,False,False,0.9182,1.0,0.667,0.68,False,False,False,0.1093,0.0372,False,not tested,True,weak,False,0.0481,0.1475,0.1956,0.1281,0.2031,no analyte-specific evidence
mannose,saccharide,saccharide_glycan,0.6013,0.6711,29,0.7561,False,False,0.7375,0.775,30,0.7317,False,False,0.8841,0.8921,-0.6059,-0.2436,44,0.9375,True,False,0.9455,1.0,0.667,0.667,True,False,False,0.1686,0.0588,False,not tested,True,moderate,False,0.0806,0.1329,0.2135,0.1162,0.2056,broad-theme only
methionine,amino_acid,sulfur_antioxidant,0.5575,0.5871,10,0.4545,False,False,0.8735,0.9195,18,0.7,False,False,0.9546,0.9566,0.8119,0.8986,16,0.8889,False,False,0.9364,0.5,1.0,0.98,True,True,True,0.1909,0.0402,False,not tested,True,weak,False,-0.1033,0.3068,0.2035,0.1276,0.1989,broad-theme only
n-acetylglucosamine,saccharide,saccharide_glycan,0.5987,0.6547,15,0.5556,False,False,0.8527,0.8688,22,0.7,False,False,0.9014,0.8956,-0.6277,-0.4258,31,0.8919,True,False,0.9,0.5,0.667,0.667,True,False,False,0.1287,0.0452,False,not tested,True,weak,False,0.1051,0.0981,0.2033,0.1453,0.1942,broad-theme only
oleate,lipid,lipid_acyl|sterol_membrane,0.264,0.3756,20,0.6389,False,False,0.3648,0.4028,6,0.5455,False,False,0.5072,0.5016,-0.4675,-0.0943,15,0.8889,False,False,0.7,0.5,0.333,0.353,False,False,False,0.2484,0.0558,False,not tested,True,strong,True,0.1757,0.0369,0.2126,0.1173,0.2078,matrix-recovered
phenylalanine,amino_acid,aromatic_amino_acid|protein_peptide,0.3007,0.3437,36,0.8372,False,False,0.5299,0.5788,17,0.7,False,False,0.8306,0.8287,-0.0917,0.1413,30,0.8919,False,False,0.6455,0.0,0.333,0.327,True,False,False,0.0012,0.035,False,not tested,True,moderate,False,0.1295,0.075,0.2044,0.1166,0.2036,broad-theme only
phosphate,organic_acid,organic_acid_metabolism,0.361,0.41,31,0.7561,False,False,0.6495,0.7071,26,0.7,False,False,0.9183,0.9192,0.603,0.678,22,0.8919,True,False,0.9545,0.5,1.0,0.98,True,False,False,0.0689,0.0326,False,not tested,True,weak,False,0.0021,0.1989,0.201,0.1248,0.2017,broad-theme only
phosphatidylinositol,lipid,lipid_acyl|sterol_membrane,0.8339,0.9163,40,0.8511,False,False,0.9558,0.972,24,0.7,False,False,0.9888,0.988,0.4695,0.7518,39,0.907,False,False,0.9909,1.0,1.0,0.98,True,True,False,0.0101,0.0348,False,not tested,True,weak,False,-0.0208,0.2151,0.1943,0.1654,0.1853,broad-theme only
phosphoenolpyruvate,organic_acid,organic_acid_metabolism,0.6177,0.6859,23,0.6389,False,False,0.8211,0.8492,15,0.7,False,False,0.9331,0.9214,0.8668,0.8585,3,0.5,True,False,0.8727,0.5,0.667,0.647,True,True,True,0.0289,0.0481,False,not tested,True,moderate,False,-0.0154,0.2202,0.2047,0.1414,0.1983,broad-theme only
proline,amino_acid,aromatic_amino_acid|protein_peptide,0.31,0.4115,41,0.8542,False,False,0.8426,0.8623,28,0.7,False,False,0.8689,0.8804,-0.733,-0.419,38,0.9048,False,False,0.9091,1.0,0.667,0.667,True,False,False,0.1678,0.059,False,not tested,True,moderate,False,0.0996,0.1109,0.2104,0.1771,0.1914,broad-theme only
pyruvate,organic_acid,organic_acid_metabolism,0.6083,0.7249,38,0.8444,False,False,0.8026,0.8717,35,0.7955,False,False,0.9333,0.9346,0.6639,0.8473,35,0.8974,True,False,0.7545,0.5,0.667,0.647,True,True,False,0.018,0.0511,False,not tested,True,weak,False,-0.007,0.2195,0.2125,0.1116,0.2097,broad-theme only
riboflavin,cofactor,redox_broad,0.3394,0.4057,34,0.8095,False,False,0.6387,0.6876,36,0.8,False,False,0.972,0.9708,0.7086,0.7792,25,0.8919,False,False,0.9182,1.0,0.667,0.68,False,True,True,0.1024,0.0497,False,not tested,True,moderate,False,-0.0254,0.2342,0.2087,0.1289,0.2067,no analyte-specific evidence
serine,amino_acid,aromatic_amino_acid|protein_peptide,0.3536,0.3921,27,0.7297,False,False,0.6897,0.7191,7,0.5833,False,False,0.8496,0.8498,-0.6139,-0.4147,25,0.8919,False,False,0.8,0.5,0.333,0.347,False,False,False,0.1187,0.0533,False,not tested,True,moderate,False,0.1332,0.0726,0.2058,0.1701,0.1917,no analyte-specific evidence
stearate,lipid,lipid_acyl|sterol_membrane,0.3209,0.308,3,0.2727,False,True,0.3722,0.3735,4,0.4,False,False,0.5662,0.5175,0.0776,0.1612,5,0.625,False,False,0.8545,0.5,0.667,0.673,False,False,False,0.3273,0.0545,False,not tested,True,moderate,False,0.0692,0.1328,0.202,0.168,0.2096,no analyte-specific evidence
thymine,pyrimidine,nucleic_pyrimidine,0.2704,0.2477,1,0.1429,True,False,0.5425,0.5447,4,0.4,False,False,0.7403,0.736,0.5558,0.6196,8,0.7273,False,False,0.2182,0.5,0.333,0.347,False,True,False,0.0186,0.0363,False,not tested,True,weak,False,-0.0852,0.281,0.1959,0.1188,0.2123,no analyte-specific evidence
triolein,lipid,lipid_acyl|sterol_membrane,0.3138,0.3833,8,0.4,False,False,0.3694,0.4113,14,0.7,False,False,0.5219,0.5025,-0.3572,-0.094,8,0.7273,False,False,0.6364,0.5,0.333,0.353,False,False,False,0.2461,0.0527,False,not tested,True,weak,False,0.163,0.0386,0.2016,0.1456,0.2033,no analyte-specific evidence
tryptophan,amino_acid,aromatic_amino_acid|protein_peptide,0.3394,0.3971,16,0.5714,False,False,0.6793,0.6857,4,0.4,False,False,0.9305,0.9384,0.2139,0.5356,45,0.9375,False,False,0.8818,0.5,0.667,0.66,True,True,False,0.0048,0.0469,False,not tested,True,moderate,False,0.0638,0.1517,0.2155,0.1089,0.2177,broad-theme only
tyrosine,amino_acid,aromatic_amino_acid|protein_peptide,0.236,0.2822,31,0.7561,False,False,0.6292,0.685,33,0.7674,False,False,0.9473,0.9446,0.1874,0.3233,16,0.8889,False,False,0.8727,1.0,0.667,0.667,True,True,True,0.0201,0.0445,False,not tested,True,moderate,False,0.0205,0.1802,0.2008,0.1573,0.1962,broad-theme only
uracil,pyrimidine,nucleic_pyrimidine,0.0562,0.1564,39,0.8478,False,False,0.4858,0.5426,23,0.7,False,False,0.45,0.4379,0.1591,0.3022,12,0.8889,False,False,0.6455,0.5,0.333,0.333,True,False,False,0.3213,0.0647,False,not tested,True,moderate,False,0.1088,0.0961,0.2049,0.1659,0.2101,broad-theme only
urate,purine,nucleic_purine,0.644,0.5071,1,0.1429,True,False,0.7488,0.9054,49,0.9804,False,False,0.9127,0.9597,-0.5662,0.0448,50,0.9804,True,False,0.8273,1.0,0.667,0.987,False,False,False,0.0464,0.0773,True,directional depletion,True,strong,True,0.1368,0.127,0.2638,0.2944,0.2378,perturbation-validated; matrix-recovered
urea,small_nitrogenous,organic_acid_metabolism,0.6674,0.1908,1,0.1429,True,False,0.5222,0.3598,1,0.3333,True,False,0.8827,0.7649,0.9025,0.1141,1,0.25,True,True,0.6455,0.0,0.333,0.327,True,False,False,0.0168,0.0056,False,not tested,True,weak,False,0.0955,0.0503,0.1459,0.2901,0.1807,spectral+motif preserved; theme-specific
valine,amino_acid,aromatic_amino_acid|protein_peptide,0.4249,0.4233,3,0.2727,False,True,0.8199,0.8322,10,0.6667,False,False,0.9668,0.9713,0.2074,0.3888,26,0.8919,False,False,0.9455,1.0,1.0,0.98,True,False,False,0.0309,0.0648,False,not tested,True,moderate,False,0.0076,0.2057,0.2132,0.1585,0.199,broad-theme only
xanthine,purine,nucleic_purine,0.8145,0.3624,1,0.1429,True,False,0.9303,0.7379,1,0.3333,True,False,0.9751,0.8448,0.9557,0.7912,1,0.25,True,True,0.9273,1.0,1.0,0.673,True,True,True,0.3334,0.2512,False,not tested,True,strong,True,-0.1085,0.4711,0.3626,0.1743,0.2908,spectral+motif preserved; theme-specific; matrix-recovered
