chemistry_class,canonical,spectra
peptide_protein,30,80
mono_oligosaccharide,20,43
free_amino_acid,18,75
acylglycerol,17,23
fatty_acid,17,27
sterol_steroid,10,13
carboxylic_acid_metabolite,8,23
phospholipid_sphingolipid,5,8
polysaccharide,5,10
purine,5,17
chromophore_pigment,4,10
sulfur_thiol_cofactor,4,16
nucleic_acid_polymer,3,3
phosphate_metabolite,3,11
pyrimidine,3,9
small_nitrogenous,2,7
