programme,bootstrap_recovery
0,0.9920711130217466
1,0.9136484660318683
2,0.9901193254370639
3,0.9844962446321113
4,0.9930870684860722
5,0.9561233765742242
6,0.9882810598464732
7,0.9649381598532003
8,0.9623746207106839
