programme,n_top_spectra,within_similarity,between_similarity,separation,specificity,dominant_class,max_overlap,usage_share
0,75,0.7211367145887012,0.549610350007152,0.17152636458154924,0.13425589913363045,carboxylic_acid_metabolite,0.2650246507082772,0.058666666666666666
1,75,0.7016016575415287,0.5503664325903633,0.15123522495116537,0.17904442887991667,peptide_protein,0.2548040290748327,0.037333333333333336
2,75,0.7174207188445867,0.5750632275529394,0.14235749129164732,0.09867140443828881,free_amino_acid,0.2611621271962414,0.032
3,75,0.8179222149742311,0.45313275511401563,0.3647894598602155,0.22919913163140848,fatty_acid,0.26833962863931937,0.16266666666666665
4,75,0.8905853846726097,0.5177708767247629,0.3728145079478469,0.6571384269175832,free_amino_acid,0.4000875325852963,0.22133333333333333
5,75,0.6948633343458783,0.5667179218983962,0.12814541244748212,0.12434352946236549,peptide_protein,0.2053449375624481,0.04
6,75,0.9293281722501395,0.4652755662344729,0.4640526060156666,0.6999027694939868,peptide_protein,0.29820957604941656,0.216
7,75,0.7375733164081227,0.5824725079584049,0.15510080844971785,0.1148196994560392,purine,0.29820957604941656,0.064
8,75,0.8603114325703946,0.5258193793683581,0.33449205320203645,0.2723814652227038,mono_oligosaccharide,0.4000875325852963,0.168
