fold,n_test,explained_variance,mean_cosine,replicate_consistency,mean_activation_entropy,dominance
0,76,0.7441053978569634,0.8978589662681699,0.9841526463822233,0.7371330431301769,0.2236842105263158
1,76,0.7846735903737021,0.9501899471440683,0.9920475221045982,0.9564781124342969,0.21052631578947367
2,75,0.7822086321372255,0.9212275284607759,0.983616994964705,0.678925234026903,0.25333333333333335
3,72,0.760995862847661,0.9258656547977012,0.9534869473123391,0.8042920493549337,0.25
4,76,0.7534026968723985,0.8945306733367708,0.9836386628557248,0.8680454397284416,0.35526315789473684
