family,base_family,K,usable,non_negative_activations,rmse,explained_variance,mean_cosine,relative_frobenius,information_retained_vs_chemistry_evidence,heldout_chemistry_top1,heldout_chemistry_top3,heldout_chemistry_retention,bootstrap_stability,bootstrap_min,n_programmes_unstable,sparsity,max_pairwise_overlap,max_single_axis_share,mean_pairwise_overlap,activation_entropy,dominance,effective_rank,compression_ratio,replicate_consistency,mutual_information_norm,eligible,ineligible_reason,objective
nmf,nmf,2,True,True,0.1573686337410178,0.2970913193732998,0.6564367995287729,0.7082595196552631,0.2970913193732998,0.09866666666666667,0.38666666666666666,0.13074204946979143,0.9993667102251144,0.9987903646379143,0,0.430875066779856,0.13306859945664412,0.27213946820593965,0.13306859945664412,0.43247653540143177,0.7573333333333333,1.4666777540193552,8.0,0.9787497355866435,0.5301330474598568,False,information retained 0.297 < floor 0.5,0.13065925186671462
nmf,nmf,3,True,True,0.14302256135143054,0.4194071797965816,0.7370611271196105,0.6436930168011412,0.4194071797965816,0.352,0.7466666666666667,0.46643109540574235,0.989498829036482,0.7640373520871231,0,0.5662708111722231,0.14666539606070847,0.4743150663915633,0.10688835238773013,0.5059740357002991,0.44533333333333336,2.416651768948065,5.333333333333333,0.9774545790592538,0.8379835445105469,False,information retained 0.419 < floor 0.5,0.46153302273018565
nmf,nmf,4,True,True,0.12979983183271954,0.5217986281959373,0.7809179579536907,0.5841822754620131,0.5217986281959373,0.488,0.848,0.6466431095397791,0.9983528734293504,0.9900253103175103,0,0.6255668517076874,0.17849466782568288,0.5133291514885562,0.11628939590057584,0.5006066939409171,0.296,3.3159988547723573,4.0,0.969679021081758,1.0520536989133966,True,,0.6455780064923287
nmf,nmf,5,True,True,0.12022793875635591,0.5897265996129681,0.8216714033321247,0.5411026335327724,0.5897265996129681,0.4693333333333333,0.9013333333333333,0.6219081272076564,0.9744677987595233,0.783332671459277,0,0.667777057486038,0.1938544588110806,0.542435602004799,0.10433616579784499,0.4630429441900528,0.2613333333333333,4.171284140932176,3.2,0.9652986522341834,1.1844562365172797,True,,0.6060294437507026
nmf,nmf,6,True,True,0.11026443207402119,0.6549091470693111,0.8663480186455415,0.4962604798636638,0.6549091470693111,0.6026666666666667,0.92,0.7985865724371044,0.9833778361185709,0.910921484663428,0,0.7162533029716122,0.21814502705268765,0.5441368709950766,0.09004615878399898,0.46601603028077127,0.23466666666666666,5.0000713108358035,2.6666666666666665,0.9635688621313571,1.315744939799963,True,,0.7853123355565461
nmf,nmf,7,True,True,0.10057265739616991,0.7129071285687102,0.8867569260549277,0.45264129404014947,0.7129071285687102,0.5866666666666667,0.9173333333333333,0.7773851590095706,0.9751996229902764,0.8456865688415159,0,0.7680771367448767,0.16249455567487392,0.6387247592838693,0.06783830161785376,0.48218520836591794,0.22933333333333333,5.831946642818671,2.2857142857142856,0.9596427031719071,1.493103910849687,True,,0.7581057139843693
nmf,nmf,8,True,True,0.09057382222701522,0.7671544465252205,0.9040792525602012,0.4076401395809188,0.7671544465252205,0.5893333333333334,0.9226666666666666,0.7809187279141596,0.9655837593682457,0.8591992236828783,0,0.8134203685118697,0.14301012587281758,0.7434881152302156,0.05086037228819431,0.5009037488901544,0.216,6.603743238406869,2.0,0.9533188679127066,1.6832031683570154,True,,0.7540424410604224
nmf,nmf,9,True,True,0.08106105302211768,0.8134964768347119,0.9234773634950919,0.3648265928944804,0.8134964768347119,0.5866666666666667,0.9306666666666666,0.7773851590095706,0.9974461566176186,0.9779194941431698,0,0.8441216564844919,0.12362257259546021,0.7526891008414737,0.04116605757653036,0.5185245474934399,0.21066666666666667,7.364152917629333,1.7777777777777777,0.9498959774629661,1.7633441325022925,True,,0.7753998390656726
nmf,nmf,10,True,True,0.07348777506885147,0.8467174362632794,0.9393888351317681,0.33074199752191447,0.8467174362632794,0.624,0.9146666666666666,0.826855123673816,0.9284164576328158,0.8773687212704484,1,0.867498180592915,0.200415100232227,0.7901418731272392,0.03782271648496571,0.5344569640086043,0.19733333333333333,8.143413875472268,1.6,0.9493929638157638,1.9062688019038647,True,,0.767665904896788
nmf,nmf,11,True,True,0.06577389867366416,0.8772080975934221,0.9522465526217214,0.29602461922067924,0.8772080975934221,0.6133333333333333,0.9386666666666666,0.8127208480554601,0.9003908274737501,0.81648321300557,2,0.8891340005457125,0.1956914105114818,0.8718389051117468,0.03161680425285125,0.5449853755184904,0.176,9.003927819669471,1.4545454545454546,0.9376567264110462,2.0734348009898347,True,,0.7317663968858237
