representation,dim,compression_ratio,heldout_chemistry_top1,heldout_chemistry_top3,mutual_information_norm,effective_rank,replicate_consistency,non_negative
chemistry_evidence_16,16,1.0,0.7546666666666667,0.9653333333333334,3.1914105496624363,12.122881778672351,0.9467137535453293,True
BSV2_programmes,9,1.7777777777777777,0.6666666666666666,0.9333333333333333,2.075294589926301,7.678180969203453,0.9787703042827249,True
PCA_control,9,1.7777777777777777,0.6613333333333333,0.928,2.6488251236509046,7.77804341445396,0.9618745322035646,False
