model,direction,accuracy,balanced_accuracy,macro_f1
raw_baseline,normedprobe1->normedprobe2,0.17875,0.17874999999999996,0.08389164092664197
raw_baseline,normedprobe2->normedprobe1,0.16666666666666666,0.16666666666666666,0.047629253887737845
v1_embedding,normedprobe1->normedprobe2,0.4176666666666667,0.4176666666666667,0.3518711154274745
v1_embedding,normedprobe2->normedprobe1,0.509,0.509,0.4522271842169174
v2_embedding,normedprobe1->normedprobe2,0.8905833333333333,0.8905833333333333,0.8869789013631452
v2_embedding,normedprobe2->normedprobe1,0.99725,0.9972500000000001,0.9972482626333782
